"SpeciesAuthor","MatrixPopulation","Lat","Lon"
"Asclepias_meadii","Schulenberg Prairie",41.8,-88.0666666666667
"Asclepias_meadii","Biesecker Prairie",41,-87
"Aster_amellus","Malic",50.5510694444444,14.1181611111111
"Aster_amellus","Holy vrch",50.5178,14.2179944444444
"Aster_amellus","Encovany",50.8512861111111,14.2509166666667
"Aster_amellus","Malesov",50.5000666666667,14.301625
"Aster_amellus","Na Bausce",50.4843444444444,14.3011277777778
"Aster_amellus","Sovice",50.4515555555556,14.3006611111111
"Aster_amellus","Svarenice",50.4846194444444,14.3002416666667
"Aster_amellus","Vrutice I",50.5004194444444,14.2848722222222
"Aster_amellus","Vrutice II",50.5003944444444,14.2847416666667
"Aster_pyrenaeus","Bulnes",43.2166666666667,-4.81666666666667
"Astragalus_alopecurus","Area 1; Area 2; Area 3; Area 4",46.2177638888889,2.201375
"Astragalus_alopecurus","Area 1",46.2177638888889,2.201375
"Astragalus_alopecurus","Area 2",46.2177638888889,2.201375
"Astragalus_alopecurus","Area 3",46.2177638888889,2.201375
"Astragalus_alopecurus","Area 4",46.2177638888889,2.201375
"Astragalus_cremnophylax_var._cremnophylax","Grand Canyon National Park",36.1006963888889,-112.101299722222
"Astragalus_michauxii","Fort Bragg Military Reservation",35.1333333333333,-79
"Astragalus_scaphoides","Sheep Corral Gulch",45,-113.7
"Astragalus_scaphoides","Haynes Creek",45.0666666666667,-113.016666666667
"Astragalus_scaphoides_2","Sheep Corral Gulch",45,-113.7
"Astragalus_scaphoides_2","McDevitt Creek",45.8666666666667,-113.7
"Astragalus_scaphoides_2","Haynes Creek",45.0666666666667,-113.016666666667
"Astragalus_scaphoides_2","Haynes Creek",45.8666666666667,-113.7
"Astragalus_tremolsianus","Sierra de Grador",36.8666666666667,-2.76666666666667
"Astragalus_tyghensis","Site 4",45.1666666666667,-121.316666666667
"Astragalus_tyghensis","Site 10",45.1666666666667,-121.316666666667
"Astragalus_tyghensis","Site 13",45.15,-121.316666666667
"Astragalus_tyghensis","Site 25",45.2333333333333,-121.183333333333
"Astragalus_tyghensis","Site 41",45.25,-121.1
"Austrostipa_aristiglumis","B1; B3",-33.85,147.566666666667
"Austrostipa_aristiglumis","B1",-33.85,147.566666666667
"Austrostipa_aristiglumis","B3",-33.85,147.566666666667
"Austrostipa_aristiglumis","B2; B4",-33.85,147.566666666667
"Austrostipa_aristiglumis","B2",-33.85,147.566666666667
"Austrostipa_aristiglumis","B4",-33.85,147.566666666667
"Balsamorhiza_sagittata","Mount Jumbo",46.8833333333333,-113.95
"Boltonia_decurrens","Early Flood 1; Early Flood 2; Late Flood 1; Late Flood 2",39.4506525,-90.5180616666667
